sim_time,pitch,roll,yaw,pitch_delay,roll_delay,yaw_delay
129.616,0.0108422,-0.00613982,0.00469919,0.0128,-0.0107833,0.00685638
129.62,0.0109987,-0.0061895,0.00469195,0.0129879,-0.0108796,0.0068434
129.624,0.0111534,-0.00623947,0.00468459,0.0131747,-0.0109742,0.00683028
129.628,0.0113066,-0.0062891,0.00467719,0.0133602,-0.0110671,0.00681704
129.632,0.0114583,-0.00633846,0.00466973,0.0135453,-0.0111583,0.00680378
129.636,0.0116081,-0.00638811,0.00466218,0.0137289,-0.011248,0.00679056
129.64,0.0117562,-0.00643841,0.00465452,0.0139099,-0.0113363,0.00677744
129.644,0.0119033,-0.00648921,0.00464675,0.0140876,-0.0114239,0.00676442
129.648,0.01205,-0.00654021,0.00463886,0.0142613,-0.0115102,0.00675145
129.652,0.0121963,-0.00659114,0.00463082,0.0144305,-0.011595,0.00673856
129.656,0.0123415,-0.00664167,0.00462274,0.0145957,-0.0116783,0.00672568
129.66,0.0124853,-0.00669221,0.00461471,0.0147578,-0.0117602,0.00671275
129.664,0.0126267,-0.00674209,0.00460673,0.0149164,-0.0118407,0.00669973
129.668,0.0127655,-0.00679133,0.00459873,0.0150721,-0.0119201,0.00668662
129.672,0.0129007,-0.00683949,0.0045906,0.0152253,-0.0119987,0.00667343
129.676,0.0130319,-0.00688653,0.00458231,0.0153749,-0.0120766,0.00666018
129.68,0.0131597,-0.00693186,0.00457391,0.0155206,-0.0121543,0.00664685
129.684,0.0132851,-0.00697525,0.00456541,0.0156622,-0.0122316,0.00663343
